Disorder,Category,ache,death,pain,severe,suffer,good,lucky,cure,happy,mild,summary
Chronic Upper Respiratory Infection,Infectious,-0.033669985830783844,0.06521131098270416,0.2143387645483017,0.28918787837028503,-0.023126699030399323,-0.08658768981695175,-0.13064903020858765,0.02669866755604744,0.055508773773908615,0.34736159443855286,-1.6657923545720568
Viral Hepatitis C,Infectious,-0.04402632266283035,0.1098681390285492,0.10031140595674515,0.19772663712501526,0.008728478103876114,-0.06761045753955841,-0.0888662338256836,0.1050042062997818,-0.023817462846636772,0.16447846591472626,-1.7764573607401646
Other Infectious Diseases,Infectious,0.014407198876142502,0.3227923512458801,0.11103781312704086,0.18144591152668,0.1598842442035675,-0.0377022847533226,0.03522126376628876,0.20654118061065674,0.043185893446207047,0.08245455473661423,-1.746860436497254
Pneumonia,Infectious,-0.11668452620506287,0.4655914604663849,0.30574852228164673,0.4537193477153778,0.0077464282512664795,-0.023316174745559692,-0.09217309951782227,0.22033695876598358,-0.0829198956489563,0.26816198229789734,-2.140575999995551
Meningitis,Infectious,0.06372006982564926,0.4279005229473114,0.2508840560913086,0.33471789956092834,-4.165619611740112e-05,0.020945727825164795,-0.06901873648166656,0.22600628435611725,-0.023455312475562096,0.2383747696876526,-1.967256834689508
Carditis,Infectious,0.13774767518043518,0.2673940658569336,0.23091360926628113,0.32602694630622864,-0.06207650154829025,-0.049590207636356354,0.06907927244901657,0.20430564880371094,0.12146561592817307,0.31682372093200684,-1.0970860430360192
Eye Infection,Infectious,0.031839966773986816,0.229753315448761,0.2396392971277237,0.3440907299518585,0.023971788585186005,-0.1666703224182129,-0.13759875297546387,0.1664099395275116,-0.062034763395786285,0.25153252482414246,-2.238415110363383
Parasitic Infection,Infectious,0.07397465407848358,0.3784217834472656,0.18951795995235443,0.21409815549850464,0.025260962545871735,-0.09657266736030579,-0.09488462656736374,0.18597882986068726,-0.013567036017775536,0.08576685935258865,-2.448524979158691
Acute Bronchitis,Infectious,-0.02204151079058647,0.1967145800590515,0.19925366342067719,0.34694650769233704,0.014929935336112976,-0.08060823380947113,-0.13511590659618378,0.19468359649181366,-0.08645030856132507,0.3232046365737915,-1.7548205463691373
General Bacterial Infection,Infectious,,,,,,,,,,,
Herpes Zoster,Infectious,0.15408161282539368,0.2286003828048706,0.34976422786712646,0.2691631019115448,0.03869868442416191,-0.14748400449752808,-0.12445501238107681,0.2545517086982727,-0.07517795264720917,0.175266832113266,-1.9363482032945385
Gastrointestinal Infection,Infectious,-0.030824709683656693,0.33261504769325256,0.25065916776657104,0.28358545899391174,-0.0019269436597824097,-0.0446673147380352,-0.16072936356067657,0.22966112196445465,-0.07225939631462097,0.16402652859687805,-2.0329152307684413
Viral Warts HPV,Infectious,,,,,,,,,,,
Fungal Infection,Infectious,-0.037299059331417084,0.40401601791381836,0.19606482982635498,0.2335243672132492,-0.09670407325029373,-0.06528735905885696,-0.18923251330852509,0.30283287167549133,-0.144076868891716,0.1163550391793251,-1.7481365421438606
Other Viral Hepatitis,Infectious,0.008996101096272469,0.055870287120342255,0.07222998887300491,0.012190273031592369,-0.018703017383813858,-0.08144494146108627,-0.0773121565580368,-0.0338917076587677,-0.05062604695558548,0.08903255313634872,-2.5517918605959173
Staphylococcus Aureus Infection,Infectious,-0.12109628319740295,0.2386191338300705,0.21187853813171387,0.29857146739959717,-0.02399458736181259,-0.006698198616504669,0.03904560208320618,0.18082821369171143,-0.06807815283536911,0.15228484570980072,-1.5941959411746285
Ear Infection,Infectious,-0.03456076979637146,0.1821892112493515,0.24640639126300812,0.33334532380104065,0.03631751984357834,-0.11479334533214569,-0.12442675232887268,0.0987158864736557,0.007644546218216419,0.25301435589790344,-2.2171288386185077
Viral Hepatitis B,Infectious,-0.08826315402984619,0.28662991523742676,0.11247735470533371,0.2807435691356659,-0.0016808360815048218,-0.08309738337993622,-0.136407732963562,0.22351424396038055,-0.09825414419174194,0.2410704791545868,-1.7072367684758414
UTI,Infectious,-0.08387893438339233,0.28636226058006287,0.2787725031375885,0.25912168622016907,-0.0482620894908905,-0.028762217611074448,-0.14066199958324432,0.2803541421890259,-0.12788452208042145,0.10405254364013672,-1.652836008242858
Skin Infection,Infectious,-0.017092455178499222,0.2489047348499298,0.33865296840667725,0.2943524122238159,0.027809500694274902,-0.09182427823543549,-0.1285112500190735,0.2594800889492035,-0.027614489197731018,0.24501818418502808,-1.7820152617341312
Herpes Simplex,Infectious,0.1839669793844223,0.1772257536649704,0.2787362337112427,0.2097667008638382,-0.025185421109199524,-0.09406693279743195,-0.07360567152500153,0.0699562281370163,0.0550917387008667,0.1798369288444519,-1.9946061973320166
Peritonitis Retroperitoneal Infection,Infectious,,,,,,,,,,,
Escherichia Coli Infection,Infectious,-0.15812069177627563,0.2658005952835083,0.23842748999595642,0.30097660422325134,0.0014855638146400452,-0.03282381594181061,-0.0643066018819809,0.13083860278129578,-0.0960998609662056,0.11754744499921799,-2.156650664068592
Septicemia,Infectious,-0.0939609706401825,0.46485844254493713,0.2247532457113266,0.4216674566268921,0.03520970046520233,0.02825937420129776,-0.009765051305294037,0.22184473276138306,-0.022808197885751724,0.2637035846710205,-1.9348533726647277
Streptococcal Infection,Infectious,0.009968679398298264,0.29291945695877075,0.16890870034694672,0.20065072178840637,-0.05876483768224716,-0.05746597796678543,-0.03496645390987396,0.258245050907135,-0.0018488329369574785,0.15913422405719757,-1.4780755881476257
Cellu litis,Infectious,,,,,,,,,,,
Acute Upper Respiratory Infection,Infectious,-0.0016093701124191284,0.1376478672027588,0.08461868017911911,0.2967749238014221,0.059653881937265396,-0.175902858376503,-0.07399819791316986,0.08725858479738235,-0.03555114194750786,0.2871416211128235,-2.213333744705471
General Viral Infection,Infectious,,,,,,,,,,,
Infestation,Infectious,0.1584441065788269,0.2843010723590851,0.2022157460451126,0.19248920679092407,-0.0013444507494568825,-0.005732818506658077,0.03247380256652832,0.31732994318008423,0.01734662428498268,0.11227987706661224,-1.1208376635239152
Kidney Infection,Infectious,-0.14016415178775787,0.1827249974012375,0.20521074533462524,0.3140677213668823,0.08381621539592743,0.02986973710358143,0.034097086638212204,0.2640291154384613,0.028526127338409424,0.13197484612464905,-0.9344657708958443
Influenza,Infectious,0.053255561739206314,0.2519432604312897,0.07791683822870255,0.17991405725479126,0.017336318269371986,-0.049571797251701355,-0.016857516020536423,0.13177452981472015,0.10612429678440094,0.05378888547420502,-1.7937088444376175
Varicella Infection,Infectious,0.134414941072464,0.3153126835823059,0.2035035938024521,0.2985028326511383,0.1330224722623825,-0.11936904489994049,-0.08605208992958069,0.15143391489982605,0.02672904171049595,0.24989674985408783,-2.103711256448018
