Disorder,Category,ache,death,pain,severe,suffer,summary
Chronic Upper Respiratory Infection,Infectious,-0.09161412715911865,0.021525386720895767,0.2521987855434418,0.24725288152694702,0.05489761009812355,2.803666420285502
Viral Hepatitis C,Infectious,0.02939884550869465,0.11816932260990143,0.07298491150140762,0.18298447132110596,-0.034146908670663834,3.4336249048882044
Other Infectious Diseases,Infectious,-0.0028890594840049744,0.34719541668891907,0.1649838238954544,0.20410525798797607,0.07502463459968567,4.02230806659836
Pneumonia,Infectious,-0.1392870992422104,0.4582001566886902,0.3218595087528229,0.472633957862854,0.025275083258748055,3.569135640657549
Meningitis,Infectious,0.051064617931842804,0.4008677303791046,0.27592289447784424,0.33660760521888733,-0.004077819176018238,3.9506654874546623
Carditis,Infectious,0.13369683921337128,0.24962161481380463,0.21941424906253815,0.32749974727630615,-0.09420672059059143,3.0862088233523397
Eye Infection,Infectious,0.11042551696300507,0.3453367352485657,0.236267551779747,0.2935614287853241,0.019630668684840202,3.739889566264195
Parasitic Infection,Infectious,0.07193705439567566,0.39234769344329834,0.17063094675540924,0.1995670646429062,0.03474688157439232,3.926845362074234
Acute Bronchitis,Infectious,-0.08777540922164917,0.2527877688407898,0.17465877532958984,0.36683589220046997,0.007998521439731121,3.5767177120110802
General Bacterial Infection,Infectious,-0.023163016885519028,0.4745129644870758,0.26281681656837463,0.3052447736263275,0.009466043673455715,4.071566887474578
Herpes Zoster,Infectious,0.14998270571231842,0.2391727864742279,0.34484267234802246,0.29270073771476746,0.036896150559186935,3.4082237384734855
Gastrointestinal Infection,Infectious,-0.010139095596969128,0.34424078464508057,0.27032148838043213,0.3420243561267853,0.045673929154872894,3.9327103286066576
Viral Warts HPV,Infectious,0.01026177778840065,0.152703657746315,0.11900164932012558,0.0126681849360466,-0.061591245234012604,2.970793074408118
Fungal Infection,Infectious,-0.03759561479091644,0.3880292475223541,0.20269843935966492,0.2279130518436432,-0.07698121666908264,3.5022226534869345
Other Viral Hepatitis,Infectious,-0.020013265311717987,0.3421374559402466,0.18247097730636597,0.17230065166950226,-0.01850772276520729,3.930046123479044
Staphylococcus Aureus Infection,Infectious,-0.12656213343143463,0.20392589271068573,0.27913230657577515,0.33210113644599915,0.010624812915921211,3.2342420812926687
Ear Infection,Infectious,-0.0623389296233654,0.16592426598072052,0.2529272139072418,0.31504353880882263,0.03423517569899559,3.4374650014916517
Viral Hepatitis B,Infectious,-0.0005009956657886505,0.2611711323261261,0.0692904144525528,0.2524615526199341,0.006584250833839178,4.298652110774281
UTI,Infectious,-0.11083696037530899,0.26171350479125977,0.4046998918056488,0.3521207869052887,-0.0052979476749897,3.3575581811755497
Skin Infection,Infectious,0.028409741818904877,0.2516103982925415,0.3538378179073334,0.33217674493789673,0.03544966131448746,3.7420269582655927
Herpes Simplex,Infectious,0.1853920966386795,0.1949058622121811,0.25127699971199036,0.26275739073753357,-0.01540677435696125,3.2250656751757445
Peritonitis Retroperitoneal Infection,Infectious,-0.056501857936382294,0.45097509026527405,0.37680020928382874,0.3144143521785736,-0.018495038151741028,3.737669925629811
Escherichia Coli Infection,Infectious,0.0471620038151741,0.11389248818159103,0.0004014084115624428,0.06470070779323578,0.001353733241558075,3.865050538081648
Septicemia,Infectious,-0.08570466190576553,0.4775206744670868,0.21075943112373352,0.4093818664550781,0.03234383836388588,3.813730532005758
Streptococcal Infection,Infectious,0.009964428842067719,0.2848365902900696,0.19084207713603973,0.19207052886486053,-0.07697224617004395,3.472983044315258
Cellu litis,Infectious,,,,,,
Acute Upper Respiratory Infection,Infectious,0.042063552886247635,0.23777569830417633,0.07179144024848938,0.3069379925727844,0.04391191154718399,3.9316276862292376
General Viral Infection,Infectious,0.044938746839761734,0.47786247730255127,0.19369587302207947,0.2633088231086731,0.02983386628329754,4.088826364005006
Infestation,Infectious,0.1595633327960968,0.3191700279712677,0.1884516030550003,0.18216463923454285,0.0022890418767929077,3.5860337487937097
Kidney Infection,Infectious,-0.0014935294166207314,0.16990797221660614,0.1483708769083023,0.28047382831573486,-0.03112630918622017,3.726487291568727
Influenza,Infectious,0.08835218846797943,0.26896384358406067,0.07661553472280502,0.15932181477546692,-0.002626710571348667,3.8515330162218073
Varicella Infection,Infectious,0.1297483593225479,0.35232678055763245,0.19561617076396942,0.3282841444015503,0.12100612372159958,3.5789223847507405
STI,Infectious,0.1096506342291832,-0.03329280763864517,0.06817671656608582,0.10900320112705231,0.028637640178203583,1.837948712953063
Protozoan Infection,Infectious,0.1181572750210762,0.3395344614982605,0.15007096529006958,0.16707542538642883,-0.002902161329984665,3.7654470270779994
NOS Immune Deficiency,Immune,-0.04175911471247673,0.26620402932167053,0.21819670498371124,0.24383559823036194,0.06717756390571594,3.6474523508240684
Allergic Rhinitis,Immune,-0.03259113058447838,0.07941173017024994,0.23765553534030914,0.19224733114242554,-0.0603361576795578,2.8655448561769594
Dermatomyositis Polymyositis,Immune,0.16965126991271973,0.1261371225118637,0.16800335049629211,0.29273751378059387,-0.02966720424592495,3.072975649979549
Asthma,Immune,-0.09959036111831665,0.3066796362400055,0.39069363474845886,0.33721262216567993,-0.040092580020427704,3.2995460151866314
Vasculitis,Immune,0.11720812320709229,0.3227795362472534,0.3020728528499603,0.34699758887290955,-0.08819513767957687,3.269410791227332
Food Allergy,Immune,-0.03611643984913826,0.1870262324810028,0.2045164257287979,0.19091282784938812,-0.006270423997193575,3.6227929548752797
Rheumatoid Arthritis Related Conditions,Immune,0.03784661740064621,0.17660856246948242,0.36011382937431335,0.25410836935043335,-0.00449565052986145,3.611102362943354
Phlebitis Thrombophlebitis,Immune,0.004155101254582405,0.16630911827087402,0.3957929015159607,0.33859339356422424,-0.021992839872837067,3.596581100313064
NOS Hepatitis,Immune,-0.033561237156391144,0.25636839866638184,0.21302059292793274,0.2181563377380371,-0.058392949402332306,3.3908705948140065
Secondary Arthropathy,Immune,0.05852530896663666,0.1761520504951477,0.3827807605266571,0.30029764771461487,-0.024837998673319817,3.4364140227517503
NOS Autoimmune Disease,Immune,0.008009285666048527,0.3455621600151062,0.2207309901714325,0.23178163170814514,0.00831366702914238,4.103359789955253
Inflammatory Spondylopathies,Immune,-0.02135387808084488,0.005675142165273428,0.24667561054229736,0.0901159942150116,-0.1263841688632965,1.7436473779941337
Ulcerative Colitis,Immune,-0.02596846967935562,0.2040068507194519,0.27088189125061035,0.2380741834640503,-0.024932382628321648,3.5466316183735436
IBS Crohns Disease,Immune,0.111967533826828,0.053670525550842285,0.4242301881313324,0.11927442997694016,-0.04310324788093567,2.717066163069069
Chronic Sinusitis,Immune,-0.08276008069515228,0.09720737487077713,0.281738817691803,0.33028051257133484,-0.007492265664041042,3.195369235654602
Septic Arthritis,Immune,-0.017977744340896606,0.2636411488056183,0.3332524001598358,0.26359349489212036,0.012416508048772812,3.7930891691937725
Multiple Sclerosis Other Demyelinating Disease,Immune,0.07694920897483826,0.19456109404563904,0.27327731251716614,0.20461270213127136,0.07680251449346542,3.4394005244804795
Lupus Erythematosus,Immune,0.011185531504452229,0.1554001420736313,0.17695872485637665,0.1870199292898178,-0.10419356822967529,2.928289681766318
Psoriasis Related Disorders,Immune,0.13405323028564453,0.19179263710975647,0.37997519969940186,0.2524901032447815,-0.05680244415998459,3.0827066989289387
Type I Diabetes Mellitus,Immune,0.08252177387475967,0.2426176369190216,0.089323490858078,0.19373899698257446,0.043437324464321136,3.7220151610417633
